cell_type,action,energy,age,reward
1,3,99.07696839988435,1,0.0
2,0,100.52314952553063,2,0.0
1,1,42.67600084003701,3,-2.5
2,0,44.46354283290493,4,0.0
1,1,89.28567471343133,4,-2.5
1,3,100.21246024641626,11,60.0
1,1,93.14236214414797,2,-2.5
2,0,48.14622036268822,2,0.0
2,3,100.52314952553063,2,0.0
2,2,93.87951938123474,3,0.0
1,3,108.60966527201617,2,60.0
2,3,98.07951938123475,3,0.0
2,3,140.0,3,120.0
1,1,96.57696839988435,1,-2.5
1,1,86.28567471343133,4,-2.5
2,2,98.76929119984581,1,0.0
1,1,99.07696839988435,1,0.0
2,2,98.76929119984581,1,0.0
2,3,98.76010945945794,1,0.0
1,0,46.74608293463047,4,0.0
2,2,46.24546736451081,5,0.0
2,2,48.14475505938085,2,0.0
1,3,120.0,3,60.0
2,3,97.40767574403304,5,0.0
2,3,45.68451474999822,4,0.0
2,1,91.43962884069268,4,0.0
1,1,118.52906372732338,15,0.0
2,0,46.921684222223256,3,0.0
2,0,96.32940065930374,2,0.0
2,3,40.823652292362866,5,0.0
2,3,96.32940065930374,2,0.0
1,1,85.8557568080248,5,-2.5
1,1,89.71244423874143,3,-2.5
2,2,40.823652292362866,5,0.0
2,0,44.4685382016684,5,0.0
2,3,98.76010945945794,1,0.0
1,1,97.14705049447781,2,0.0
1,3,99.07008209459346,1,0.0
2,2,48.14475505938085,2,0.0
1,0,99.07008209459346,1,0.0
2,2,96.32940065930374,2,0.0
1,1,93.14705049447781,2,-2.5
2,2,25.457388096780452,15,0.0
1,1,82.8557568080248,5,-2.5
2,1,96.32940065930374,2,0.0
2,2,48.14475505938085,2,0.0
2,2,100.52940065930375,2,0.0
1,3,93.27972163051952,4,0.0
2,2,137.56010945945795,4,0.0
1,3,97.14705049447781,2,0.0
2,1,49.564033679109635,6,0.0
1,0,104.83540317760281,3,0.0
1,1,93.28259109406126,4,0.0
2,3,140.0,1,120.0
1,1,35.816229789950306,5,-2.5
1,1,70.16318792790517,16,0.0
2,3,100.52030526655105,2,0.0
2,3,49.90495086647396,3,0.0
2,2,95.64345479208167,4,0.0
2,2,97.39982464778579,5,0.0
2,0,104.04345479208168,4,0.0
2,1,98.76019580709311,1,0.0
2,1,93.88959646639685,3,0.0
2,0,96.32030526655105,2,0.0
1,1,86.28259109406126,4,-2.5
1,2,119.07014685531983,16,0.0
2,1,48.14025053682208,2,0.0
1,3,91.34986848583935,5,0.0
2,3,46.924896136744984,3,0.0
2,2,98.76019580709311,1,0.0
2,2,46.924896136744984,3,0.0
2,2,98.08959646639686,3,0.0
2,1,43.26652562923927,4,0.0
2,3,93.88959646639685,3,0.0
2,3,43.24471055709133,5,0.0
1,3,120.0,4,60.0
2,3,140.0,3,120.0
2,3,48.14025053682208,2,0.0
2,3,140.0,2,120.0
1,1,86.28259109406126,4,-2.5
2,3,45.02163971993374,5,0.0
1,1,93.35268919632955,13,-2.5
2,0,98.76019580709311,1,0.0
2,1,93.87916349970673,3,0.0
1,1,45.3022739940305,15,-2.5
1,2,104.8940512545111,3,0.0
1,0,50.65964164167413,4,0.0
1,2,107.81633166942147,4,0.0
2,0,46.919010866431215,3,0.0
2,2,98.75885823315569,1,0.0
1,0,99.06914367486677,1,0.0
2,1,23.57644213702925,17,0.0
1,2,50.60285569235391,5,0.0
1,3,120.0,5,60.0
2,1,98.75885823315569,1,0.0
2,0,93.87916349970673,3,0.0
2,1,93.87916349970673,3,0.0
2,0,93.20231302523736,5,0.0
2,0,98.75885823315569,1,0.0
2,2,43.258770557048585,6,0.0
1,1,79.41901216070612,6,-2.5
2,3,42.54270633261167,7,0.0
2,1,43.78049795308943,6,0.0
2,3,98.75885823315569,1,0.0
2,0,48.683754369900676,4,0.0
1,1,86.28634102466441,4,-2.5
1,3,89.41901216070612,6,0.0
2,1,137.55885823315572,3,0.0
1,1,86.28634102466441,4,-2.5
1,1,82.85173476892803,5,-2.5
1,1,34.88537346481708,6,-2.5
1,1,86.28148011611091,4,-2.5
1,2,100.14745531184383,3,0.0
2,2,96.32166822159682,2,0.0
2,3,48.88570190070646,8,0.0
2,1,33.74432781314755,18,0.0
2,1,43.74330794153057,7,0.0
2,3,28.944327813147545,18,0.0
2,2,94.28953977272297,8,0.0
2,0,42.90354825091319,6,0.0
2,0,47.4619187584189,4,0.0
1,2,110.8244964510787,5,0.0
2,3,45.7023917382945,4,0.0
1,1,89.71139802151745,3,-2.5
1,2,66.66471701445654,18,0.0
1,1,66.30443909410279,18,0.0
1,3,46.711365641154266,4,0.0
2,1,91.44197348814787,4,0.0
1,1,77.49111965203697,7,-2.5
2,0,96.32166822159682,2,0.0
1,1,72.56715482954225,8,-2.5
1,1,87.78148011611091,4,-2.5
1,1,91.35844851599526,5,0.0
2,1,41.327331393200744,8,0.0
2,2,26.61211907817634,15,0.0
2,1,89.01126468799367,5,0.0
1,1,74.07649496838398,8,-2.5
2,3,44.502837430361545,4,0.0
1,1,79.44382383234228,6,-2.5
1,1,79.44382383234228,6,-2.5
2,2,28.39261949997236,16,0.0
1,2,69.7565480883936,19,0.0
2,2,45.327064780137825,6,0.0
2,2,42.067537760013415,6,0.0
2,2,42.02706478013782,6,0.0
1,1,82.86685543245792,5,-2.5
2,3,27.192619499972352,16,0.0
1,3,87.50921757660589,7,0.0
2,3,26.524828234943563,19,0.0
2,2,45.56869427263211,7,0.0
2,0,47.482892160090515,5,0.0
2,2,93.90216864339284,3,0.0
2,0,103.3917651097897,6,0.0
2,1,30.350700896828258,16,0.0
1,1,18.743621176207686,18,-2.5
2,1,48.16190541601658,2,0.0
2,3,46.941334532594425,3,0.0
1,1,28.97652070447409,7,-2.5
2,3,46.24241918021492,5,0.0
1,1,35.83181438516119,5,-2.5
1,1,64.3898144104498,19,0.0
2,3,43.28226654693939,4,0.0
2,0,46.79260206903216,7,0.0
2,2,98.10884769913149,3,0.0
2,1,40.68934565222091,9,0.0
2,2,47.334231561526444,8,0.0
2,1,98.76553728889434,1,0.0
1,3,44.766207611781994,4,0.0
2,3,42.592602069032154,7,0.0
2,3,42.57265679876113,7,0.0
2,1,49.77265679876113,7,0.0
1,1,15.317774142878438,19,-2.5
1,3,87.51797679901303,7,0.0
2,3,43.13423156152644,8,0.0
2,1,62.688276815709344,5,0.0
1,2,72.80429150593565,20,0.0
1,1,96.01797679901303,16,-2.5
2,0,98.10884769913149,3,0.0
1,1,74.28337054327665,8,-2.5
2,3,140.0,7,119.16573574851341
2,0,44.9124164893785,9,0.0
2,3,98.76553728889434,1,0.0
2,0,38.9124164893785,9,0.0
2,2,41.39260206903215,7,0.0
1,1,86.72563842662296,8,-2.5
2,1,96.34603771069035,2,0.0
2,0,43.46043365978705,20,0.0
1,1,14.41396737712056,20,-2.5
2,3,47.1125041654856,7,0.0
2,3,46.24780383583373,5,0.0
2,3,91.46770593228717,4,0.0
2,1,47.09260206903216,7,0.0
1,1,69.15064793505474,9,-2.5
2,2,43.79260206903216,7,0.0
2,0,98.76553728889434,1,0.0
1,3,83.65064793505474,9,0.0
2,3,45.37677424386628,6,0.0
1,1,65.72668311256001,10,-2.5
2,2,41.73307504890775,7,0.0
2,1,40.67336910389109,10,0.0
1,1,78.95274461384382,8,-2.5
2,3,140.0,7,98.59002466884002
2,3,96.3162257958818,2,0.0
1,3,60.52698375736116,21,0.0
2,1,98.75068850698747,1,0.0
1,1,21.18002561940629,10,-2.5
1,1,62.28969949280061,11,-2.5
1,1,85.1991990070588,8,-2.5
2,2,35.958644976096714,7,0.0
2,0,45.706476006779816,3,0.0
2,0,43.81906322624335,6,0.0
2,1,47.9984923428212,6,0.0
